cidade,target,optimizer,lr,MAE,RMSE,R
Touba,dhi_rsi,adam,0.001,40.46684646606445,70.78860337079338,0.8516012660906782
Touba,dhi_rsi,adam,0.0005,37.23970413208008,68.36215887188614,0.8509832286364271
Touba,dhi_rsi,adam,0.0001,39.199974060058594,69.29568241645723,0.8486710743557299
Touba,dhi_rsi,sgd,0.001,39.304481506347656,68.74062791232889,0.853874849156235
Touba,dhi_rsi,sgd,0.0005,41.51026916503906,69.40955290992912,0.8449468127759563
Touba,dhi_rsi,sgd,0.0001,57.386722564697266,95.52798387449093,0.7625922905432998
Touba,ghi_pyr,adam,0.001,64.1665267944336,107.58977900746427,0.9080177777555956
Touba,ghi_pyr,adam,0.0005,63.5071907043457,109.21296032580108,0.905004068615989
Touba,ghi_pyr,adam,0.0001,58.70024871826172,100.42756251398318,0.9149811249418603
Touba,ghi_pyr,sgd,0.001,62.33293914794922,102.09104296992709,0.9138306371708754
Touba,ghi_pyr,sgd,0.0005,59.36604309082031,101.20580150274242,0.9145359548598194
Touba,ghi_pyr,sgd,0.0001,75.8603286743164,120.02903294620015,0.8954930405518402
Touba,ghi_sil,adam,0.001,55.19380187988281,99.06149447439202,0.9114085102086869
Touba,ghi_sil,adam,0.0005,55.97473907470703,98.43971227672803,0.9093244719048782
Touba,ghi_sil,adam,0.0001,53.255035400390625,99.01130380542416,0.9069496330049767
Touba,ghi_sil,sgd,0.001,53.34397506713867,98.87378515372515,0.9090785544204237
Touba,ghi_sil,sgd,0.0005,52.91503143310547,99.86369127935087,0.9074013287210357
Touba,ghi_sil,sgd,0.0001,67.70720672607422,103.9759587597056,0.8979205547072481
Fatick,dhi_rsi,adam,0.001,34.380897521972656,59.39947480762667,0.8752580166607424
Fatick,dhi_rsi,adam,0.0005,34.7539176940918,60.38881586876207,0.870751081325821
Fatick,dhi_rsi,adam,0.0001,35.34204864501953,61.87117057278677,0.8649647482679917
Fatick,dhi_rsi,sgd,0.001,37.74015426635742,63.77299485712487,0.8602296340505932
Fatick,dhi_rsi,sgd,0.0005,38.5302848815918,66.7650673537442,0.8492317295435088
Fatick,dhi_rsi,sgd,0.0001,50.66364669799805,86.32647764265319,0.7650313557010707
Fatick,ghi_pyr,adam,0.001,62.10795211791992,107.0590566069144,0.9011996551185649
Fatick,ghi_pyr,adam,0.0005,57.68303298950195,105.04725963970931,0.9022086794184874
Fatick,ghi_pyr,adam,0.0001,56.17018508911133,104.8665725904828,0.9043700368874943
Fatick,ghi_pyr,sgd,0.001,58.709144592285156,104.40652125077006,0.9050805501473383
Fatick,ghi_pyr,sgd,0.0005,60.795127868652344,105.61803323917985,0.9020873109039723
Fatick,ghi_pyr,sgd,0.0001,60.55626678466797,104.52019280084112,0.902596605007402
Fatick,ghi_sil,adam,0.001,74.93997192382812,110.66263484121458,0.8948016402335248
Fatick,ghi_sil,adam,0.0005,66.58280181884766,106.93277860705294,0.8972763604628555
Fatick,ghi_sil,adam,0.0001,63.85948181152344,102.10610768491031,0.9018649069131061
Fatick,ghi_sil,sgd,0.001,64.14550018310547,101.70646047111511,0.9030046283411375
Fatick,ghi_sil,sgd,0.0005,55.583518981933594,99.66352082287932,0.9020201679115811
Fatick,ghi_sil,sgd,0.0001,56.895835876464844,102.19942113186111,0.8988486030474533
SA Northern Cape,GSR,adam,0.001,69.04476928710938,109.84420341300445,0.8870390819874058
SA Northern Cape,GSR,adam,0.0005,53.3941764831543,103.00145535227888,0.8894322665177599
SA Northern Cape,GSR,adam,0.0001,44.25364685058594,101.38382359873788,0.8875018611811948
SA Northern Cape,GSR,sgd,0.001,46.852962493896484,101.65551509878841,0.8867703312617314
SA Northern Cape,GSR,sgd,0.0005,45.05010223388672,101.91501802206336,0.8860797502703268
SA Northern Cape,GSR,sgd,0.0001,61.8824577331543,108.65361209768868,0.8711813355884884
CAR Vakaga,GSR,adam,0.001,44.630863189697266,91.67512271603458,0.8908584394604429
CAR Vakaga,GSR,adam,0.0005,45.28764343261719,91.40938028828059,0.8917068215469143
CAR Vakaga,GSR,adam,0.0001,44.96084976196289,88.8068837290007,0.9002632022201853
CAR Vakaga,GSR,sgd,0.001,47.72821807861328,90.16213964731122,0.8991460334627567
CAR Vakaga,GSR,sgd,0.0005,51.73373794555664,93.44977971148461,0.8898855186529178
CAR Vakaga,GSR,sgd,0.0001,82.12169647216797,141.74625215503937,0.7577808540073456
Egypt Mut,GSR,adam,0.001,39.5797004699707,80.76682051978399,0.9369465369692972
Egypt Mut,GSR,adam,0.0005,41.21475601196289,80.60575715131954,0.9363972414033127
Egypt Mut,GSR,adam,0.0001,34.6618766784668,70.76279767756678,0.946003906159201
Egypt Mut,GSR,sgd,0.001,37.29010772705078,74.4906532517671,0.9437482519262034
Egypt Mut,GSR,sgd,0.0005,39.89536666870117,76.1894322714361,0.9387238314443442
