cidade,target,optimizer,lr,MAE,RMSE,R
Touba,dhi_rsi,adam,0.001,106.70241,119.99118,0.8066105701082975
Touba,dhi_rsi,adam,0.0005,106.7015,119.92003,0.8042351151776119
Touba,dhi_rsi,adam,0.0001,107.36117,120.29298,0.8046638991328149
Touba,dhi_rsi,sgd,0.001,107.23956,120.18837,0.8084791490862971
Touba,dhi_rsi,sgd,0.0005,107.91402,120.53664,0.8113130502503663
Touba,dhi_rsi,sgd,0.0001,114.474945,129.26768,0.7078353824593145
Touba,ghi_pyr,adam,0.001,215.99089,235.89612,0.8717428123456565
Touba,ghi_pyr,adam,0.0005,216.24454,236.0829,0.8664440802666737
Touba,ghi_pyr,adam,0.0001,214.49214,234.5919,0.8654100954939997
Touba,ghi_pyr,sgd,0.001,214.79893,234.50876,0.8545674379721481
Touba,ghi_pyr,sgd,0.0005,215.22343,235.06433,0.84912287123502
Touba,ghi_pyr,sgd,0.0001,221.82997,241.95966,0.8117683375817881
Touba,ghi_sil,adam,0.001,205.8913,225.36292,0.8573386655780213
Touba,ghi_sil,adam,0.0005,205.39372,225.07874,0.8590496985905948
Touba,ghi_sil,adam,0.0001,205.53568,225.44743,0.8480633693535959
Touba,ghi_sil,sgd,0.001,206.94974,226.4395,0.8439995631304713
Touba,ghi_sil,sgd,0.0005,206.72107,226.13771,0.8521105667493494
Touba,ghi_sil,sgd,0.0001,214.31046,233.84998,0.812775713333628
Fatick,dhi_rsi,adam,0.001,103.41668,115.54461,0.8190292687814587
Fatick,dhi_rsi,adam,0.0005,103.270386,115.34994,0.8220249916515013
Fatick,dhi_rsi,adam,0.0001,104.20415,115.971596,0.8137218522629005
Fatick,dhi_rsi,sgd,0.001,104.47797,116.20306,0.815930541554243
Fatick,dhi_rsi,sgd,0.0005,105.1755,116.72822,0.8082737426708975
Fatick,dhi_rsi,sgd,0.0001,109.69992,123.96472,0.6956214135779094
Fatick,ghi_pyr,adam,0.001,215.85136,235.52715,0.8352081031308032
Fatick,ghi_pyr,adam,0.0005,216.20705,235.7764,0.8428806989366612
Fatick,ghi_pyr,adam,0.0001,214.71942,235.02696,0.8333441451037584
Fatick,ghi_pyr,sgd,0.001,215.00789,235.24564,0.8312567121719975
Fatick,ghi_pyr,sgd,0.0005,215.01619,235.11038,0.8373765476547979
Fatick,ghi_pyr,sgd,0.0001,219.37265,240.13274,0.7953689914233484
Fatick,ghi_sil,adam,0.001,204.43684,223.5478,0.85565111838664
Fatick,ghi_sil,adam,0.0005,203.57655,223.18188,0.8457156207821396
Fatick,ghi_sil,adam,0.0001,202.9464,222.7976,0.8468556066509513
Fatick,ghi_sil,sgd,0.001,203.82578,223.2691,0.83217660946798
Fatick,ghi_sil,sgd,0.0005,203.79987,223.36435,0.8298973902061202
Fatick,ghi_sil,sgd,0.0001,203.43338,223.08775,0.8291644165613969
SA Northern Cape,GSR,adam,0.001,186.94676,210.3161,0.8120949699206054
SA Northern Cape,GSR,adam,0.0005,186.06032,210.03087,0.814258880744658
SA Northern Cape,GSR,adam,0.0001,184.58746,209.85466,0.8217045183191735
SA Northern Cape,GSR,sgd,0.001,185.18173,210.29625,0.8267882568648075
